frame,tp,fg_pixels,fp,bg_pixels,person_raw_background,person_raw_shadow,person_raw_foreground
296,1635,2012,27934,98805,235,97,1680
297,1748,2136,27164,98663,231,101,1804
298,1776,2167,26853,98541,231,91,1845
299,1823,2193,26924,98442,223,90,1880
300,1944,2226,26925,98444,206,84,1936
301,1975,2240,26574,98373,189,77,1974
302,1922,2195,26573,98369,191,96,1908
303,1847,2141,26355,98406,195,101,1845
304,1817,2170,26026,98388,196,145,1829
305,1722,2137,25587,98421,198,142,1797
306,1722,2129,25161,98423,187,131,1811
307,1813,2120,24650,98445,139,144,1837
308,1848,2113,24401,98480,121,121,1871
309,1905,2178,23716,98408,138,109,1931
310,1941,2217,23285,98389,158,92,1967
311,1979,2273,22336,98321,166,103,2004
312,1991,2345,21728,98257,194,101,2050
313,2058,2462,21016,98102,200,133,2129
314,2208,2597,20642,98009,219,108,2270
315,2318,2764,20057,97911,245,124,2395
316,2371,2807,19950,97886,218,127,2462
317,2482,2838,19556,97819,173,114,2551
318,2655,2959,19137,97602,126,126,2707
319,2791,3126,18659,97454,123,179,2824
320,2831,3198,18686,97357,110,206,2882
321,2817,3252,18371,97248,108,237,2907
322,2823,3350,18306,97108,132,306,2912
323,2915,3541,17803,96903,209,321,3011
324,2960,3758,16933,96675,275,376,3107
325,3265,4013,15894,96404,267,359,3387
326,3465,4238,15335,96180,301,341,3596
327,3592,4446,15028,95949,352,359,3735
328,3569,4439,14863,95894,308,442,3689
329,3475,4535,13788,95727,372,481,3682
330,3560,4640,12645,95609,410,482,3748
331,3667,4759,11646,95444,378,519,3862
332,3852,4862,11259,95339,343,472,4047
333,4033,4942,10577,95253,352,398,4192
334,4025,5048,10220,95116,426,379,4243
335,4194,5198,9493,94945,463,378,4357
336,4379,5432,9478,94683,485,401,4546
337,4413,5637,9096,94467,531,485,4621
338,4541,5811,8872,94277,563,498,4750
339,4857,6073,8497,94018,541,490,5042
340,5126,6445,8188,93572,691,440,5314
341,5470,6837,7901,93204,776,417,5644
342,5533,6952,8118,93010,807,363,5782
343,5818,7111,8065,92885,774,347,5990
344,5858,7231,8162,92760,742,386,6103
345,6059,7417,7877,92571,721,425,6271
346,6217,7506,7623,92511,680,431,6395
347,6299,7623,7379,92403,690,476,6457
348,6304,7764,7115,92256,794,505,6465
349,6169,7840,6784,92180,986,537,6317
350,6106,8004,6390,92014,1161,522,6321
351,6536,8410,6064,91597,1181,479,6750
352,7071,8921,5952,91090,1252,442,7227
353,7478,9324,5892,90711,1176,494,7654
354,7358,9497,5564,90399,1233,669,7595
355,7105,9210,5353,90657,1395,513,7302
356,6744,8985,5198,90848,1469,550,6966
357,7235,9104,4635,90695,1289,467,7348
358,7930,9940,3729,89795,1350,493,8097
359,8274,10314,3112,89316,1457,427,8430
360,8489,10509,3087,89095,1367,518,8624
361,8565,10552,3122,88978,1327,509,8716
362,8726,10855,3109,88686,1368,567,8920
363,8990,11228,2521,88369,1493,496,9239
364,8952,11543,2409,88055,1898,503,9142
365,9472,11902,1835,87708,1957,388,9557
366,9655,12317,1771,87469,2139,461,9717
367,10174,13009,1579,87011,2322,427,10260
368,10907,13611,1526,86256,2268,377,10966
369,10881,13648,1415,86107,2282,360,11006
370,10849,13914,1102,85852,2304,535,11075
371,11158,14062,955,85732,2175,593,11294
372,11180,14150,719,85672,2384,440,11326
373,11205,14437,691,85438,2546,584,11307
374,11113,14630,661,85281,2592,707,11331
375,11133,14847,750,85140,2730,704,11413
376,11315,15027,553,85039,2708,725,11594
377,11549,14607,498,85694,2262,677,11668
378,10636,13155,486,87250,1944,539,10672
379,9367,11898,315,88710,2019,470,9409
380,7468,10091,260,90638,2047,502,7542
381,5228,7620,249,92986,1757,525,5338
382,3557,5609,321,94967,1574,417,3618
383,2692,4447,204,96169,1295,348,2804
384,2022,3233,214,97458,821,326,2086
385,1484,2337,154,98485,574,250,1513
386,974,1962,117,98936,595,305,1062
387,606,1311,102,99795,438,238,635
388,316,450,77,100736,93,50,307
389,0,0,65,101376,0,0,0
390,0,0,46,101376,0,0,0
391,0,0,32,101376,0,0,0
392,0,0,16,101376,0,0,0
393,0,0,11,101376,0,0,0
394,0,0,9,101376,0,0,0
395,0,0,4,101376,0,0,0
396,0,0,9,101376,0,0,0
397,0,0,9,101376,0,0,0
398,0,0,5,101376,0,0,0
399,0,0,5,101376,0,0,0
400,0,0,5,101376,0,0,0
401,0,0,5,101376,0,0,0
402,0,0,5,101376,0,0,0
403,0,0,5,101376,0,0,0
404,0,0,5,101376,0,0,0
405,0,0,5,101376,0,0,0
406,0,0,5,101376,0,0,0
407,0,0,5,101376,0,0,0
408,0,0,0,101376,0,0,0
409,0,0,0,101376,0,0,0
410,0,0,0,101376,0,0,0
411,0,0,0,101376,0,0,0
412,0,0,0,101376,0,0,0
413,0,0,0,101376,0,0,0
414,0,0,0,101376,0,0,0
415,0,0,0,101376,0,0,0
416,0,0,0,101376,0,0,0
417,0,0,0,101376,0,0,0
418,0,0,0,101376,0,0,0
419,0,0,0,101376,0,0,0
420,0,0,5,101376,0,0,0
421,0,0,0,101376,0,0,0
422,0,0,0,101376,0,0,0
423,0,0,0,101376,0,0,0
424,0,0,0,101376,0,0,0
425,0,0,0,101376,0,0,0
426,0,0,0,101376,0,0,0
427,0,0,0,101376,0,0,0
428,0,0,0,101376,0,0,0
429,0,0,0,101376,0,0,0
430,0,0,0,101376,0,0,0
431,0,0,0,101376,0,0,0
432,0,0,0,101376,0,0,0
433,0,0,0,101376,0,0,0
434,0,0,0,101376,0,0,0
435,0,0,0,101376,0,0,0
436,0,0,0,101376,0,0,0
437,0,0,0,101376,0,0,0
438,0,0,0,101376,0,0,0
439,0,0,0,101376,0,0,0
440,0,0,0,101376,0,0,0
441,0,0,0,101376,0,0,0
442,0,0,0,101376,0,0,0
443,0,0,0,101376,0,0,0
444,0,0,0,101376,0,0,0
445,0,0,0,101376,0,0,0
446,0,0,0,101376,0,0,0
447,0,0,0,101376,0,0,0
448,0,0,0,101376,0,0,0
449,0,0,0,101376,0,0,0
450,0,0,0,101376,0,0,0
451,0,0,0,101376,0,0,0
452,0,0,0,101376,0,0,0
453,0,0,0,101376,0,0,0
454,0,0,0,101376,0,0,0
455,0,0,0,101376,0,0,0
456,0,0,0,101376,0,0,0
457,0,0,0,101376,0,0,0
458,0,0,0,101376,0,0,0
459,0,0,0,101376,0,0,0
460,0,0,0,101376,0,0,0
461,0,0,0,101376,0,0,0
462,0,0,0,101376,0,0,0
463,0,0,0,101376,0,0,0
464,0,0,0,101376,0,0,0
465,0,0,0,101376,0,0,0
466,0,0,0,101376,0,0,0
467,0,0,0,101376,0,0,0
468,0,0,0,101376,0,0,0
469,0,0,0,101376,0,0,0
470,0,0,0,101376,0,0,0
471,0,0,0,101376,0,0,0
472,0,0,0,101376,0,0,0
473,0,0,0,101376,0,0,0
474,0,0,0,101376,0,0,0
475,0,0,0,101376,0,0,0
476,0,0,0,101376,0,0,0
477,0,0,0,101376,0,0,0
478,0,0,0,101376,0,0,0
479,0,0,0,101376,0,0,0
480,0,0,0,101376,0,0,0
481,0,0,0,101376,0,0,0
482,0,0,0,101376,0,0,0
483,0,0,0,101376,0,0,0
484,0,0,0,101376,0,0,0
485,0,0,0,101376,0,0,0
486,0,0,0,101376,0,0,0
487,0,0,0,101376,0,0,0
488,0,0,0,101376,0,0,0
489,0,0,0,101376,0,0,0
490,0,0,0,101376,0,0,0
491,0,0,0,101376,0,0,0
492,0,0,0,101376,0,0,0
493,0,0,0,101376,0,0,0
494,0,0,0,101376,0,0,0
495,0,0,0,101376,0,0,0
496,0,0,0,101376,0,0,0
497,0,0,0,101376,0,0,0
498,0,0,0,101376,0,0,0
499,0,0,0,101376,0,0,0
500,0,0,0,101376,0,0,0
501,0,0,0,101376,0,0,0
502,0,0,0,101376,0,0,0
503,0,0,0,101376,0,0,0
504,0,0,0,101376,0,0,0
505,0,0,0,101376,0,0,0
506,0,0,0,101376,0,0,0
507,0,0,0,101376,0,0,0
508,0,0,0,101376,0,0,0
509,0,0,0,101376,0,0,0
510,0,0,0,101376,0,0,0
